State,District,Year,Crop,Annual_Rainfall_mm,Avg_Market_Price,ΣΚ (mg/kg),ΣΝ (mg/kg),ΣΡ (mg/kg),ΣΡΗ,Soil_Type,Yield_Ton_per_Ha,Profitability_Score
Andhra Pradesh,District B,2017,Rice,1066.8,2584.88,182.02,112.86,69.45,6.12,Sandy,7.05,61.81
Andhra Pradesh,District B,2017,Maize,1037.2,2011.01,368.63,180.08,159.02,7.06,Silty,8.35,96.8
Andhra Pradesh,District B,2017,Sugarcane,632.6,5063.18,335.98,170.01,95.7,7.85,Loamy,8.25,90.32
Andhra Pradesh,District B,2017,Cotton,1425.9,5912.08,343.24,209.16,119.87,5.77,Loamy,4.13,51.4
Andhra Pradesh,District B,2018,Wheat,1675.5,3284.44,348.83,265.59,190.91,5.94,Sandy,5.43,25.82
Andhra Pradesh,District B,2018,Rice,1188.7,5910.15,297.05,132.19,134.01,6.22,Clay,5.84,46.01
Andhra Pradesh,District B,2018,Maize,1377.1,3301.35,379.07,95.02,145.37,6.73,Clay,5.64,97.31
Andhra Pradesh,District B,2018,Sugarcane,1402.9,2507.32,428.72,136.27,82.57,5.6,Sandy,5.81,35.6
Andhra Pradesh,District B,2018,Cotton,1841.3,2079.37,232.04,130.4,36.61,6.94,Clay,9.29,6.11
Andhra Pradesh,District B,2019,Wheat,915.3,5127.91,399.3,96.13,57.68,6.61,Loamy,7.84,53.13
Andhra Pradesh,District B,2019,Rice,1580.8,1780.54,159.1,83.28,143.69,8.03,Clay,5.79,10.72
Andhra Pradesh,District B,2019,Maize,1171.1,3896.78,196.99,117.31,87.91,5.56,Sandy,8.57,8.92
Andhra Pradesh,District B,2019,Sugarcane,1303.0,2549.47,237.17,168.49,83.92,7.45,Loamy,1.78,53.71
Andhra Pradesh,District B,2019,Cotton,1380.3,4854.48,272.66,81.9,71.08,6.59,Loamy,6.47,24.44
Andhra Pradesh,District B,2020,Wheat,1247.4,2986.57,473.48,51.88,60.56,6.6,Silty,8.66,8.79
Andhra Pradesh,District B,2020,Rice,1708.8,1750.44,436.93,62.91,23.28,7.59,Loamy,6.18,91.74
Andhra Pradesh,District B,2020,Maize,508.0,5887.8,296.3,230.72,167.76,7.66,Clay,6.14,28.0
Andhra Pradesh,District B,2020,Sugarcane,1654.2,2341.7,229.47,156.36,111.37,6.23,Sandy,6.5,28.86
Andhra Pradesh,District B,2020,Cotton,1371.9,2194.63,292.46,183.15,29.33,6.51,Loamy,5.94,54.89
Andhra Pradesh,District B,2021,Wheat,802.6,4580.57,135.15,84.71,20.49,5.85,Clay,4.14,92.95
Andhra Pradesh,District B,2021,Rice,1745.9,5842.62,149.72,232.72,188.9,6.04,Clay,9.34,72.16
Andhra Pradesh,District B,2021,Maize,572.1,5016.82,431.18,237.63,163.92,7.98,Peaty,8.33,66.52
Andhra Pradesh,District B,2021,Sugarcane,1284.6,3114.74,450.88,148.11,166.99,6.82,Clay,6.62,53.98
Andhra Pradesh,District B,2021,Cotton,1158.1,4098.69,242.14,147.87,115.73,5.7,Clay,5.89,43.15
Andhra Pradesh,District B,2022,Wheat,999.2,4787.47,377.49,91.68,178.15,6.99,Clay,8.1,15.17
Andhra Pradesh,District B,2022,Rice,967.6,2618.2,397.58,58.38,122.58,7.79,Clay,7.79,10.29
Andhra Pradesh,District B,2022,Maize,1304.7,3204.7,282.8,200.99,110.41,7.12,Peaty,3.06,72.23
Andhra Pradesh,District B,2022,Sugarcane,1580.1,4385.16,377.58,185.68,65.32,6.54,Clay,9.63,34.25
Andhra Pradesh,District B,2022,Cotton,841.0,3406.19,215.17,203.74,184.13,5.92,Loamy,6.5,1.81
Andhra Pradesh,District B,2023,Wheat,1808.2,5694.53,326.05,224.16,186.05,7.62,Loamy,7.94,37.44
Andhra Pradesh,District B,2023,Rice,603.4,1847.94,141.7,260.11,183.92,5.87,Peaty,9.86,83.89
Andhra Pradesh,District B,2023,Maize,687.0,5643.79,447.96,179.71,126.43,6.7,Sandy,7.7,20.56
Andhra Pradesh,District B,2023,Sugarcane,1681.7,4216.75,145.71,153.63,175.43,8.27,Loamy,5.33,91.85
Andhra Pradesh,District B,2023,Cotton,1380.6,1647.81,465.1,112.06,123.97,6.0,Peaty,9.23,36.24
Andhra Pradesh,District B,2024,Wheat,1370.9,4345.19,105.24,215.88,52.05,8.38,Sandy,6.02,86.06
Andhra Pradesh,District B,2024,Rice,1302.6,2330.08,219.84,127.48,91.52,6.78,Clay,4.14,46.82
Andhra Pradesh,District B,2024,Maize,1437.5,3199.77,434.63,196.86,72.93,7.64,Loamy,5.72,44.08
Andhra Pradesh,District B,2024,Sugarcane,1101.1,4018.38,162.1,95.48,175.12,8.34,Loamy,3.44,64.4
Andhra Pradesh,District B,2024,Cotton,1113.1,1614.24,162.46,228.99,138.61,5.58,Clay,3.08,67.19
Andhra Pradesh,District C,2015,Wheat,529.6,1968.49,419.97,94.64,137.49,6.21,Loamy,8.25,98.87
Andhra Pradesh,District C,2015,Rice,1404.8,5130.83,485.06,286.1,45.39,6.72,Loamy,1.12,8.55
Andhra Pradesh,District C,2015,Maize,811.8,1619.39,172.57,195.76,95.86,8.18,Peaty,4.08,25.94
Andhra Pradesh,District C,2015,Sugarcane,1069.5,4156.33,207.23,206.04,93.69,7.16,Loamy,8.75,21.95
Andhra Pradesh,District C,2015,Cotton,1961.8,5008.91,145.7,191.44,197.37,6.91,Sandy,5.36,51.25
Andhra Pradesh,District C,2016,Wheat,1612.5,4644.81,261.02,104.51,136.11,6.77,Loamy,5.73,17.17
Andhra Pradesh,District C,2016,Rice,908.5,1582.76,465.72,79.44,123.77,6.32,Sandy,4.65,49.75
Andhra Pradesh,District C,2016,Maize,1580.3,1979.6,156.01,115.92,67.97,7.7,Loamy,6.4,66.5
Andhra Pradesh,District C,2016,Sugarcane,763.1,5614.85,267.51,145.78,113.41,5.64,Silty,9.63,18.44
Andhra Pradesh,District C,2016,Cotton,635.5,4969.44,127.3,259.27,98.69,8.25,Clay,3.67,56.64
Andhra Pradesh,District C,2017,Wheat,1214.1,4486.52,474.73,233.14,58.69,5.59,Silty,2.46,84.15
Andhra Pradesh,District C,2017,Rice,1769.6,5798.56,161.87,205.83,105.36,6.53,Sandy,4.72,70.49
Andhra Pradesh,District C,2017,Maize,1397.4,3568.57,130.37,69.44,20.42,8.4,Loamy,1.93,31.46
Andhra Pradesh,District C,2017,Sugarcane,1711.1,5829.44,416.01,222.64,113.83,5.76,Clay,7.59,80.66
Andhra Pradesh,District C,2017,Cotton,1488.2,4615.24,439.68,112.42,108.1,6.16,Loamy,1.46,66.99
Andhra Pradesh,District C,2018,Wheat,566.2,4147.19,499.74,188.95,105.18,6.44,Peaty,7.58,19.26
Andhra Pradesh,District C,2018,Rice,672.9,3397.93,418.14,236.27,29.88,6.87,Clay,8.46,3.7
Andhra Pradesh,District C,2018,Maize,1394.4,2535.04,148.23,69.24,145.33,6.52,Silty,6.15,80.4
Andhra Pradesh,District C,2018,Sugarcane,1307.6,4477.45,395.14,180.04,96.83,8.13,Loamy,1.22,87.01
Andhra Pradesh,District C,2018,Cotton,531.9,5436.16,311.57,284.77,163.78,8.49,Silty,1.47,8.85
Andhra Pradesh,District C,2019,Wheat,556.4,3659.02,332.3,117.92,91.69,5.78,Silty,7.64,23.88
Andhra Pradesh,District C,2019,Rice,665.7,3095.8,214.9,124.08,62.05,5.63,Sandy,9.19,4.51
Andhra Pradesh,District C,2019,Maize,664.2,3262.34,149.78,289.1,163.64,6.28,Silty,4.76,87.91
Andhra Pradesh,District C,2019,Sugarcane,1917.1,3603.31,345.36,91.76,198.41,6.2,Silty,8.54,23.06
Andhra Pradesh,District C,2019,Cotton,1746.0,2041.52,118.78,146.02,26.61,8.37,Peaty,1.52,96.91
Andhra Pradesh,District C,2020,Wheat,1825.7,5674.89,497.96,93.47,91.32,7.77,Sandy,2.39,81.58
Andhra Pradesh,District C,2020,Rice,836.7,2507.18,314.79,198.23,124.42,5.77,Sandy,4.52,27.3
Andhra Pradesh,District C,2020,Maize,1215.0,1699.69,440.88,58.86,79.23,8.29,Clay,1.78,40.85
Andhra Pradesh,District C,2020,Sugarcane,1059.0,2668.89,389.37,173.97,34.59,6.16,Peaty,9.05,99.15
Andhra Pradesh,District C,2020,Cotton,592.3,5473.08,306.43,276.63,122.84,7.49,Clay,8.78,73.39
Andhra Pradesh,District C,2021,Wheat,1281.9,5406.72,198.11,89.34,48.87,6.5,Peaty,7.28,68.01
Andhra Pradesh,District C,2021,Rice,1427.9,4887.22,163.44,270.22,176.93,5.59,Loamy,2.16,33.51
Andhra Pradesh,District C,2021,Maize,1615.3,2223.42,427.19,258.03,111.34,5.52,Peaty,6.55,98.12
Andhra Pradesh,District C,2021,Sugarcane,1447.7,2669.12,353.6,185.0,160.37,5.82,Loamy,4.89,84.01
Andhra Pradesh,District C,2021,Cotton,1088.2,2307.74,401.48,247.2,51.28,7.81,Silty,3.71,70.82
Andhra Pradesh,District C,2022,Wheat,601.0,4119.77,238.35,205.23,28.23,8.11,Peaty,5.01,64.76
Andhra Pradesh,District C,2022,Rice,1391.6,3226.26,126.25,255.38,86.93,7.96,Clay,7.15,44.59
Andhra Pradesh,District C,2022,Maize,910.4,5987.06,270.47,162.85,49.45,7.88,Peaty,3.69,83.99
Andhra Pradesh,District C,2022,Sugarcane,1659.2,2535.24,152.53,267.01,193.38,5.59,Peaty,9.49,41.97
Andhra Pradesh,District C,2022,Cotton,1457.8,3289.17,209.69,295.99,93.68,8.18,Loamy,2.92,3.11
Andhra Pradesh,District C,2023,Wheat,1477.5,3158.37,445.74,168.3,194.27,6.06,Sandy,1.82,15.37
Andhra Pradesh,District C,2023,Rice,1180.5,3886.59,107.14,249.2,72.95,8.24,Loamy,6.55,79.65
Andhra Pradesh,District C,2023,Maize,1222.3,2027.89,150.07,221.39,97.46,6.1,Sandy,2.45,65.15
Andhra Pradesh,District C,2023,Sugarcane,988.9,4156.19,273.3,296.09,46.92,6.89,Loamy,5.32,60.0
Andhra Pradesh,District C,2023,Cotton,937.5,4627.42,444.05,244.96,27.13,6.94,Sandy,3.18,98.67
Andhra Pradesh,District C,2024,Wheat,713.7,3745.0,347.26,225.62,120.74,5.53,Silty,1.65,53.42
Andhra Pradesh,District C,2024,Rice,1823.8,1871.29,429.81,139.45,77.98,8.43,Loamy,7.21,80.06
Andhra Pradesh,District C,2024,Maize,800.2,2253.67,141.83,209.11,147.17,5.59,Sandy,1.47,54.13
Andhra Pradesh,District C,2024,Sugarcane,1563.6,5419.36,385.63,250.43,81.1,7.94,Clay,9.05,54.76
Andhra Pradesh,District C,2024,Cotton,1725.9,3535.43,357.43,181.6,151.69,5.74,Silty,3.22,15.95
Arunachal Pradesh,District A,2015,Wheat,1807.7,2486.46,490.35,134.22,52.78,7.87,Clay,2.46,2.09
Arunachal Pradesh,District A,2015,Rice,1479.9,2995.42,316.99,173.32,34.67,6.71,Peaty,1.65,3.07
Arunachal Pradesh,District A,2015,Maize,886.5,3581.8,447.31,231.79,153.69,6.78,Silty,7.62,76.77
Arunachal Pradesh,District A,2015,Sugarcane,1257.3,3944.85,305.6,197.01,25.29,6.69,Silty,8.86,90.07
Arunachal Pradesh,District A,2015,Cotton,1132.6,2745.73,336.94,278.09,57.92,7.37,Peaty,7.6,13.16
Arunachal Pradesh,District A,2016,Wheat,1573.7,5590.65,171.87,109.39,194.85,6.04,Peaty,1.62,43.72
Arunachal Pradesh,District A,2016,Rice,646.1,3322.59,337.17,194.85,139.27,5.79,Sandy,4.52,96.94
Arunachal Pradesh,District A,2016,Maize,887.2,4455.31,230.08,243.37,43.56,8.41,Clay,8.95,44.2
Arunachal Pradesh,District A,2016,Sugarcane,996.3,3519.5,367.76,86.44,100.9,7.26,Silty,7.36,16.7
Arunachal Pradesh,District A,2016,Cotton,751.4,1665.02,394.56,215.95,105.43,8.03,Silty,5.02,86.42
Arunachal Pradesh,District A,2017,Wheat,1337.2,3929.58,113.68,296.67,42.13,6.19,Loamy,1.35,12.21
Arunachal Pradesh,District A,2017,Rice,1178.3,5702.44,226.46,176.81,27.48,5.95,Peaty,5.32,68.6
Arunachal Pradesh,District A,2017,Maize,526.1,2954.09,489.24,195.03,65.76,7.07,Silty,5.79,12.57
Arunachal Pradesh,District A,2017,Sugarcane,699.1,2145.94,475.93,233.22,49.23,6.07,Peaty,4.99,86.81
Arunachal Pradesh,District A,2017,Cotton,765.7,4616.82,435.25,286.15,142.98,6.99,Sandy,8.48,86.46
Arunachal Pradesh,District A,2018,Wheat,1652.8,2008.99,418.2,279.67,128.11,8.32,Peaty,7.0,57.72
Arunachal Pradesh,District A,2018,Rice,1022.9,2216.79,341.98,129.53,175.96,8.48,Peaty,8.04,56.7
Arunachal Pradesh,District A,2018,Maize,1607.7,5453.32,261.66,131.76,140.17,7.92,Loamy,8.9,31.72
Arunachal Pradesh,District A,2018,Sugarcane,1803.4,3190.53,218.75,212.27,79.11,7.39,Loamy,4.57,69.55
Arunachal Pradesh,District A,2018,Cotton,1082.8,3519.12,195.02,143.31,60.91,5.72,Clay,2.52,64.26
Arunachal Pradesh,District A,2019,Wheat,1639.0,3752.0,316.95,287.87,172.49,8.24,Peaty,4.07,38.02
Arunachal Pradesh,District A,2019,Rice,1098.2,4110.78,313.44,201.98,157.68,7.94,Loamy,7.44,52.12
Arunachal Pradesh,District A,2019,Maize,1733.6,3438.88,458.69,67.82,191.84,7.46,Clay,1.54,93.44
Arunachal Pradesh,District A,2019,Sugarcane,1027.4,1956.39,294.35,114.19,71.28,6.42,Silty,5.85,31.13
Arunachal Pradesh,District A,2019,Cotton,1415.5,4722.68,209.05,153.39,41.94,6.04,Silty,2.63,52.52
Arunachal Pradesh,District A,2020,Wheat,1563.6,1980.95,326.92,114.14,193.33,6.95,Sandy,4.36,52.65
Arunachal Pradesh,District A,2020,Rice,668.5,1511.63,355.19,178.79,126.84,7.88,Loamy,2.57,36.08
Arunachal Pradesh,District A,2020,Maize,1858.8,4964.75,322.65,113.91,74.37,7.7,Silty,4.81,66.75
Arunachal Pradesh,District A,2020,Sugarcane,643.3,4307.37,280.71,196.65,50.24,7.71,Loamy,5.26,53.54
Arunachal Pradesh,District A,2020,Cotton,767.7,2905.22,192.1,101.55,134.83,6.27,Peaty,6.35,49.68
Arunachal Pradesh,District A,2021,Wheat,1981.7,2113.98,378.06,151.08,97.08,7.65,Sandy,1.14,34.11
Arunachal Pradesh,District A,2021,Rice,1728.1,4214.49,234.89,276.38,159.07,6.29,Peaty,9.05,19.19
Arunachal Pradesh,District A,2021,Maize,985.1,2519.95,242.0,67.36,113.43,5.7,Peaty,1.63,64.02
Arunachal Pradesh,District A,2021,Sugarcane,906.7,4167.65,372.05,107.71,102.23,6.07,Loamy,9.95,66.18
Arunachal Pradesh,District A,2021,Cotton,1336.7,4787.93,286.08,65.04,121.21,8.37,Peaty,6.71,75.48
Arunachal Pradesh,District A,2022,Wheat,755.7,3342.65,269.08,255.45,20.22,6.4,Silty,5.27,38.25
Arunachal Pradesh,District A,2022,Rice,679.7,5883.74,108.01,234.3,158.35,6.23,Peaty,1.84,25.7
Arunachal Pradesh,District A,2022,Maize,1681.9,5391.09,343.39,176.71,48.67,5.69,Silty,3.73,26.31
Arunachal Pradesh,District A,2022,Sugarcane,1040.2,1894.39,474.78,188.45,74.99,6.69,Loamy,6.41,51.57
Arunachal Pradesh,District A,2022,Cotton,1879.1,3736.34,496.86,262.86,57.53,8.29,Loamy,5.86,62.8
Arunachal Pradesh,District A,2023,Wheat,1511.5,3896.17,388.57,85.32,58.16,7.96,Peaty,1.21,15.38
Arunachal Pradesh,District A,2023,Rice,835.4,5807.95,329.22,283.18,123.53,6.94,Sandy,9.3,48.71
Arunachal Pradesh,District A,2023,Maize,1409.4,4941.64,169.94,175.64,91.76,5.94,Peaty,2.1,47.82
Arunachal Pradesh,District A,2023,Sugarcane,1259.2,2546.48,131.99,244.18,41.97,7.28,Silty,4.96,10.57
Arunachal Pradesh,District A,2023,Cotton,1461.2,2472.17,347.84,212.55,47.36,5.68,Clay,2.73,21.18
Arunachal Pradesh,District A,2024,Wheat,1226.9,4894.14,347.8,124.34,97.46,6.01,Peaty,2.09,30.33
Arunachal Pradesh,District A,2024,Rice,651.6,4614.73,124.92,177.36,199.41,7.94,Silty,3.76,62.39
Arunachal Pradesh,District A,2024,Maize,1290.6,3417.38,152.28,271.65,100.96,6.08,Clay,4.73,82.75
Arunachal Pradesh,District A,2024,Sugarcane,1600.4,4961.87,104.41,154.04,106.64,5.56,Peaty,7.84,13.71
Arunachal Pradesh,District A,2024,Cotton,1303.0,2468.41,104.85,110.3,195.66,7.9,Peaty,1.38,37.14
Arunachal Pradesh,District B,2015,Wheat,898.8,4407.41,299.73,116.5,46.86,5.88,Loamy,3.92,73.74
Arunachal Pradesh,District B,2015,Rice,1214.0,3191.5,257.79,164.86,161.3,8.18,Sandy,1.92,65.87
Arunachal Pradesh,District B,2015,Maize,1914.2,5139.98,130.57,119.84,187.46,6.26,Peaty,8.43,49.55
Arunachal Pradesh,District B,2015,Sugarcane,1079.5,3525.56,190.79,272.35,101.11,8.15,Peaty,7.64,51.22
Arunachal Pradesh,District B,2015,Cotton,1520.3,1687.53,133.92,229.08,32.98,5.71,Sandy,9.61,73.75
Arunachal Pradesh,District B,2016,Wheat,1029.9,2834.41,239.88,243.66,139.05,6.06,Clay,4.71,54.96
Arunachal Pradesh,District B,2016,Rice,1745.8,1809.21,269.72,70.65,112.64,8.2,Sandy,9.78,66.74
Arunachal Pradesh,District B,2016,Maize,515.6,2649.36,204.29,67.31,192.77,6.93,Loamy,3.9,12.52
Arunachal Pradesh,District B,2016,Sugarcane,1211.5,2012.8,294.41,280.07,113.74,7.35,Loamy,2.15,33.83
Arunachal Pradesh,District B,2016,Cotton,1892.1,2510.77,248.87,158.02,99.09,7.34,Silty,3.17,12.15
Arunachal Pradesh,District B,2017,Wheat,796.2,5491.16,358.32,121.48,166.87,8.08,Sandy,3.33,54.4
Arunachal Pradesh,District B,2017,Rice,1454.1,2494.79,491.36,237.05,120.41,6.04,Clay,3.88,75.32
Arunachal Pradesh,District B,2017,Maize,904.0,3928.0,391.18,76.99,143.35,5.78,Loamy,2.92,50.59
Arunachal Pradesh,District B,2017,Sugarcane,1761.1,4797.61,316.89,197.59,111.5,6.39,Clay,2.36,9.38
Arunachal Pradesh,District B,2017,Cotton,1365.8,5447.12,273.52,90.21,120.45,7.94,Silty,7.54,99.18
Arunachal Pradesh,District B,2018,Wheat,648.8,3306.72,420.03,101.01,119.92,7.7,Clay,2.69,35.54
Arunachal Pradesh,District B,2018,Rice,1675.7,3994.02,102.09,240.25,26.36,7.74,Sandy,9.62,36.79
Arunachal Pradesh,District B,2018,Maize,990.4,2170.0,222.24,269.16,199.34,6.6,Peaty,6.79,78.04
Arunachal Pradesh,District B,2018,Sugarcane,825.8,2120.2,365.22,50.47,52.11,5.59,Silty,2.63,38.77
Arunachal Pradesh,District B,2018,Cotton,1103.5,5434.18,304.04,230.85,38.74,6.18,Silty,6.05,60.35
Arunachal Pradesh,District B,2019,Wheat,1514.7,5122.45,207.93,256.26,109.69,5.73,Peaty,7.71,98.2
Arunachal Pradesh,District B,2019,Rice,814.8,5213.09,308.12,143.37,42.03,7.71,Sandy,1.8,22.06
Arunachal Pradesh,District B,2019,Maize,1397.3,4810.48,499.34,283.28,135.66,6.76,Silty,5.47,17.83
Arunachal Pradesh,District B,2019,Sugarcane,1528.9,5960.07,398.89,235.0,191.06,6.11,Silty,4.26,33.45
Arunachal Pradesh,District B,2019,Cotton,539.3,1608.86,432.68,118.27,113.25,6.4,Peaty,1.51,85.27
Arunachal Pradesh,District B,2020,Wheat,838.3,3196.11,284.69,170.23,98.33,8.31,Silty,2.2,8.06
Arunachal Pradesh,District B,2020,Rice,1591.9,3734.08,274.74,232.38,157.79,5.98,Silty,2.18,39.88
Arunachal Pradesh,District B,2020,Maize,1883.9,3624.27,105.36,120.69,28.03,5.61,Clay,3.48,78.71
Arunachal Pradesh,District B,2020,Sugarcane,1962.3,3170.43,271.55,261.2,68.27,5.97,Silty,1.3,6.27
Arunachal Pradesh,District B,2020,Cotton,1859.7,2126.6,312.97,152.77,82.52,8.2,Loamy,7.59,54.83
